,,telegraaf
bankovervaller,syrier,0.7430179193024414
bankovervaller,syriers,0.727854590646285
bankovervaller,turk,0.6033413955733439
bankovervaller,turken,0.04458812358928307
bankovervaller,westers,0.3157179549154269
bankrover,afgaan,0.01936274320675222
bankrover,afghanen,0.15428411053819063
bankrover,allochtonen,-0.04578838501177229
bankrover,allochtoon,0.2827056659266411
bankrover,antilliaan,0.75131028003235
bankrover,antillianen,0.22204444609132867
bankrover,arabier,0.7062425512202821
bankrover,arabieren,0.16331638324796133
bankrover,burger,0.12293526053009562
bankrover,burgers,-0.05427676032239498
bankrover,expat,0.635402331292541
bankrover,expats,0.14609130498704523
bankrover,immigrant,0.584076461252551
bankrover,immigranten,0.09459643015846814
bankrover,irakees,0.6310708429453925
bankrover,irakezen,0.15898601808043955
bankrover,marokkaan,0.6070588923441318
bankrover,marokkanen,0.13392265746347973
bankrover,migrant,0.5371074311717519
bankrover,migranten,0.05108045878507099
bankrover,moslim,0.31622991602169737
bankrover,moslims,0.08535144269564374
bankrover,nederlander,0.356930528787729
bankrover,nederlanders,0.0012671238852478735
bankrover,somalier,0.7608717604009254
bankrover,somaliers,0.570504051479311
bankrover,surinamer,0.7282868356419524
bankrover,surinamers,0.18084727187752114
bankrover,syrier,0.784252885944581
bankrover,syriers,0.6522492204799157
bankrover,turk,0.7112524111577961
bankrover,turken,0.09317915655475432
bankrover,westers,0.24386452329861621
barbaars,afgaan,-0.09680652609785671
barbaars,afghanen,0.3003209332917033
barbaars,allochtonen,0.17293434758144202
barbaars,allochtoon,0.4201010312015955
barbaars,antilliaan,0.39223723823515894
barbaars,antillianen,0.31480021529991137
barbaars,arabier,0.566837774892017
barbaars,arabieren,0.29602234218769363
barbaars,burger,0.08877752621329768
barbaars,burgers,0.13367545987122734
barbaars,expat,0.5093217614009151
barbaars,expats,0.17109103780142132
barbaars,immigrant,0.3943342565024367
barbaars,immigranten,0.14637365359240637
barbaars,irakees,0.5318171929553371
barbaars,irakezen,0.1858059229219784
barbaars,marokkaan,0.22226208572163966
barbaars,marokkanen,0.15240283592222953
barbaars,migrant,0.44494276804054245
barbaars,migranten,0.16516290875936995
barbaars,moslim,0.37877147144864176
barbaars,moslims,0.3153725552725854
barbaars,nederlander,-0.0031254907515124095
barbaars,nederlanders,0.05806736736249184
barbaars,somalier,0.5457087108869914
barbaars,somaliers,0.5948529814480433
barbaars,surinamer,0.47215746830223765
barbaars,surinamers,0.3205627944547677
barbaars,syrier,0.5566845278424243
barbaars,syriers,0.6166764793600926
barbaars,turk,0.3145178495943205
barbaars,turken,0.14269111652331962
barbaars,westers,0.58868061824652
bedreiger,afgaan,0.08118762408769599
bedreiger,afghanen,0.30959084241709917
bedreiger,allochtonen,0.12464955233568895
bedreiger,allochtoon,0.32233480006473697
bedreiger,antilliaan,0.6585899557380853
bedreiger,antillianen,0.33988219058999863
bedreiger,arabier,0.716348867121881
bedreiger,arabieren,0.2755583339444235
bedreiger,burger,0.23390630429733297
bedreiger,burgers,0.17745410806013492
bedreiger,expat,0.6370224894519041
bedreiger,expats,0.24188329334021103
bedreiger,immigrant,0.5690461846197485
bedreiger,immigranten,0.21732716225112095
bedreiger,irakees,0.6814531518471543
bedreiger,irakezen,0.33111261201076286
bedreiger,marokkaan,0.5533487797517037
bedreiger,marokkanen,0.2426267295479761
bedreiger,migrant,0.5831106746950463
bedreiger,migranten,0.15800534540238834
bedreiger,moslim,0.3957444238784504
bedreiger,moslims,0.24194438830673123
bedreiger,nederlander,0.2986322268562714
bedreiger,nederlanders,0.11933732144566325
bedreiger,somalier,0.8325379049804386
bedreiger,somaliers,0.663158122538961
bedreiger,surinamer,0.6954273081926867
bedreiger,surinamers,0.32517636191302324
bedreiger,syrier,0.7529453355172334
bedreiger,syriers,0.6832046525535053
bedreiger,turk,0.6235776666969767
bedreiger,turken,0.19825015377964592
bedreiger,westers,0.2873183607404765
belediging,afgaan,0.0491168273771628
belediging,afghanen,0.27149370324709154
belediging,allochtonen,0.2549059507398637
belediging,allochtoon,0.45240029232566326
belediging,antilliaan,0.4340978932274952
belediging,antillianen,0.3029453700220867
belediging,arabier,0.42924802192025613
belediging,arabieren,0.24249083655260437
belediging,burger,0.41366613471700925
belediging,burgers,0.3151451999592469
belediging,expat,0.252559500554655
belediging,expats,0.06020058777937637
belediging,immigrant,0.369482364726724
belediging,immigranten,0.23625222814908742
belediging,irakees,0.5265467725060453
belediging,irakezen,0.22895239260798053
belediging,marokkaan,0.401363655074828
belediging,marokkanen,0.26742448794162604
belediging,migrant,0.36665886996591346
belediging,migranten,0.18898002568086936
belediging,moslim,0.6259627304514813
belediging,moslims,0.4188661966735474
belediging,nederlander,0.20105647993872341
belediging,nederlanders,0.07769644154776237
belediging,somalier,0.3528999398789932
belediging,somaliers,0.21416354185752365
belediging,surinamer,0.37346331221631024
belediging,surinamers,0.1560726878665996
belediging,syrier,0.3211463751599842
belediging,syriers,0.23247932631778387
belediging,turk,0.4647254228785825
belediging,turken,0.21691412565860077
belediging,westers,0.340859077285664
bendeleider,afgaan,0.011365346991024013
bendeleider,afghanen,0.18676015448470656
bendeleider,allochtonen,-0.04336324017784067
bendeleider,allochtoon,0.323111240013765
bendeleider,antilliaan,0.7845319491329817
bendeleider,antillianen,0.25261715717845357
bendeleider,arabier,0.7779578090559145
bendeleider,arabieren,0.19623753701472788
bendeleider,burger,0.1031141742525942
bendeleider,burgers,-0.01965081488767521
bendeleider,expat,0.5967651254779008
bendeleider,expats,0.12020295459260995
bendeleider,immigrant,0.6717396935499729
bendeleider,immigranten,0.15506812969013145
bendeleider,irakees,0.7850198547326137
